iter	MultiClass
0	1.727271807
1	1.674752097
2	1.632648552
3	1.596747644
4	1.558059087
5	1.528360001
6	1.501006976
7	1.47723647
8	1.454701929
9	1.432801185
10	1.411298509
11	1.395636948
12	1.378861121
13	1.364698998
14	1.351720348
15	1.336868599
16	1.323866271
17	1.313502263
18	1.30314888
19	1.292861746
20	1.283683833
21	1.276148759
22	1.267686833
23	1.260930618
24	1.254605317
25	1.249246762
26	1.244028453
27	1.235403084
28	1.229568028
29	1.223210223
30	1.217305731
31	1.212142338
32	1.206338205
33	1.202299867
34	1.197302609
35	1.192509677
36	1.188353307
37	1.18526062
38	1.181566718
39	1.178659643
40	1.174865185
41	1.171593971
42	1.166916908
43	1.164461744
44	1.161887262
45	1.158989342
46	1.155916996
47	1.152136033
48	1.149325296
49	1.14656988
50	1.142572747
51	1.139959543
52	1.136844662
53	1.133869039
54	1.132066421
55	1.129147842
56	1.125795491
57	1.122751642
58	1.119665252
59	1.117273237
60	1.115646961
61	1.113600216
62	1.111553307
63	1.108727976
64	1.105339597
65	1.103168495
66	1.100077888
67	1.097172137
68	1.094959207
69	1.092648525
70	1.09014777
71	1.087812609
72	1.085552005
73	1.083785214
74	1.081991859
75	1.079444614
76	1.078213958
77	1.076333859
78	1.074955661
