iter	Passed	Remaining
0	10683	10672995
1	19653	9807135
2	26889	8936432
3	34994	8713715
4	41197	8198372
5	45920	7607437
6	52382	7430838
7	58174	7213668
8	64295	7079623
9	69074	6838334
10	72523	6520533
11	75323	6201640
12	77814	5907941
13	80645	5679712
14	83763	5500474
15	86260	5305023
16	88988	5145642
17	91546	4994355
18	94223	4864921
19	97097	4757777
20	99519	4639493
21	101932	4531348
22	104593	4442951
23	107096	4355261
24	109738	4279810
25	112368	4209501
26	114870	4139582
27	117544	4080471
28	121627	4072426
29	124640	4030028
30	127462	3984236
31	130226	3939341
32	132662	3887423
33	135273	3843367
34	137946	3803394
35	141292	3783499
36	144238	3754091
37	146925	3719532
38	149360	3680394
39	152917	3670023
40	156711	3665530
41	159585	3640067
42	162283	3611762
43	165150	3588265
44	168016	3565683
45	170520	3536449
46	173074	3509352
47	178515	3540553
48	182095	3534136
49	184434	3504249
50	188351	3504817
51	191410	3489557
52	194732	3479472
53	200433	3511300
54	203591	3498065
55	209669	3534428
56	212149	3509763
57	215439	3499040
58	222932	3555588
59	226148	3542999
60	262046	4033801
61	288110	4358839
62	298195	4435065
63	307731	4500579
64	313907	4515444
65	319314	4518786
66	326086	4540874
67	329542	4516675
68	333342	4497708
69	337942	4489805
70	342078	4475926
71	347787	4482599
72	356111	4522130
73	361641	4525407
74	366798	4523849
75	371153	4512445
76	375343	4499248
77	379085	4480986
78	385857	4498412
